"","X","Y","Al","Co","Fe","Filler","Mg","Ni","Hard","Lcode","subset"
"13753",1175,550,4.2,0.231,22,68.299,3.98,1.29,1,"SM","validation"
"13754",1175,600,3.2,0.069,16.5,72.806,6.45,0.975,1,"SM","validation"
"13755",1175,650,3.8,0.084,21.6,66.636,6.3,1.58,1,"SA","validation"
"13756",1175,700,1.5,0.021,12.1,69.863,15.8,0.716,1,"SM","validation"
"13757",1200,125,2.2,0.091,33.3,58.449,3.77,2.19,1,"SA","validation"
"13758",1200,225,2,0.082,27,62.498,6.87,1.55,1,"SM","validation"
"13759",1200,275,2,0.175,29.7,62.555,3.84,1.73,1,"SA","validation"
"13760",1200,375,3.5,0.173,27.5,65.147,2.06,1.62,1,"SA","validation"
"13761",1200,425,11.5,0.024,43.9,43.878,0.38,0.318,1,"FZ","validation"
"13762",1200,625,15.1,0.004,7.4,76.179,1.26,0.057,1,"SM","validation"
"13763",1200,725,1.4,0.018,9.1,69.759,19.3,0.423,3,"UM","validation"
"13764",1225,100,1.4,0.019,9.2,66.612,22,0.769,2,"SM","validation"
"13765",1225,150,1,0.053,19.9,69.987,7.45,1.61,1,"SM","validation"
"13766",1225,200,4,0.152,43.3,49.658,1.56,1.33,1,"SA","validation"
"13767",1225,250,0.8,0.021,11,69.699,17.9,0.58,3,"SM","validation"
"13768",1225,350,1.4,0.023,9.6,75.071,13.5,0.406,1,"SM","validation"
"13769",1225,400,2.9,1.4,22.8,67.5,2.4,3,1,"SA","validation"
"13770",1225,600,10.4,0.003,5,83.428,1.13,0.039,1,"SM","validation"
"13771",1225,650,3.6,0.012,6.4,78.327,11.5,0.161,1,"SM","validation"
"13772",1225,700,1.7,0.044,12.2,66.767,18.4,0.889,1,"SM","validation"
"13773",1225,750,4,0.096,25.4,65.844,3.17,1.49,1,"SM","validation"
"13774",1225,800,1.3,0.014,7.3,76.988,14.1,0.298,3,"SM","validation"
"13775",1250,175,1.3,0.027,10.9,72.184,14.6,0.989,1,"SM","validation"
"13776",1250,225,3.8,0.064,40.3,53.206,1.21,1.42,1,"FZ","validation"
"13777",1250,275,1.2,0.019,8.6,78.592,11.1,0.489,2,"UM","validation"
"13778",1250,675,4.3,0.016,6.1,78.74,10.7,0.144,2,"UM","validation"
"13779",1250,775,1.34,0.026,11.8,74.163,11.88,0.791,0,"SM","validation"
"13780",1250,825,1.9,0.05,12,83.4,2.2,0.45,2,"FZ","validation"
"13781",1275,200,1.8,0.043,21.3,62.357,13.3,1.2,1,"SM","validation"
"13782",1275,700,5.1,0.303,19,70.447,3.7,1.45,0,"FZ","validation"
"13783",1275,750,8.2,0.009,8.1,71.024,12,0.667,2,"SM","validation"
"13784",1275,800,1.7,0.021,10.8,70.136,16.5,0.843,1,"SM","validation"
"13785",1300,175,0.6,0.02,11.4,71.381,16,0.599,3,"SM","validation"
"13786",1300,225,2.1,0.031,20.3,63.319,13.2,1.05,1,"SM","validation"
"13787",1300,825,1.8,0.016,8.6,75.049,14.1,0.435,1,"SM","validation"
"13788",1325,150,0.5,0.019,7.6,71.175,20,0.706,1,"SM","validation"
"13789",1325,700,1.85,0.012,9.91,77.445,10.62,0.163,0,"FZ","validation"
"13790",1350,125,0.5,0.014,6.1,72.776,20.1,0.51,1,"SM","validation"
